,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
195,korectiion,Iam Cleo,390500.0,3000000.0,376800.0,4300.0,1700.0
196,theovon,Theo Von,2700000.0,3100000.0,320800.0,1100.0,5600.0
197,dafnnejm,dafnne ☻,3800000.0,3700000.0,667900.0,1400.0,1300.0
198,boomershroomer,Ashley Enders,63800.0,4099999.9999999995,286400.0,2400.0,3200.0
199,abir.sag,Abir el saghir,14700000.0,4300000.0,302800.0,2800.0,2300.0
200,iamprisleeciyi,Priscilla ◡̈,13900.0,2300000.0,522900.0,1200.0,4200.0
201,mikaylahau,Mikaylah,4900000.0,3600000.0,313500.0,4600.0,1100.0
202,ranboolive,Ranboo,4300000.0,1800000.0,414800.0,7000.0,1600.0
203,fadiljaidi,Fadil Jaidi,8700000.0,3500000.0,390700.0,2900.0,1800.0
204,diiegospyckerzs,Diiego Spyckerzs,808500.0,2800000.0,154500.0,3000.0,11800.0
205,sonyakisa8,Cat Sonya,17400000.0,3500000.0,287700.0,1000.0,5300.0
206,dbl_n,DBL N officiel 👑🔥🇹🇳,2200000.0,3600000.0,392900.0,2400.0,2100.0
207,gavincasalegno,GavinCasalegno,3200000.0,2200000.0,394700.0,5300.0,1900.0
208,gordeewa__13,gordeewa__13 :>,12700000.0,5400000.0,293700.0,3200.0,722.0
209,guide_smis,ไกค์ 'สมิท,275700.0,13100000.0,299200.0,435.0,1200.0
210,lucasmonteirosg,Lucas Monteiro,486900.0,3800000.0,469400.0,1800.0,1700.0
211,dasigantung,Dasi Gantung,5900000.0,4600000.0,648500.0,842.0,1300.0
212,vanessalopesr,Vanessa Lopes,25200000.0,3400000.0,327800.0,3600.0,1900.0
213,alexitoxedits,ALEX <3,2900000.0,1600000.0,467100.0,3900.0,4400.0
214,bretmanrock,bretmanrock,14400000.0,2900000.0,599900.0,2000.0,1400.0
215,brodywellmaker,Brody Wellmaker,21600000.0,3000000.0,430300.0,3600.0,1000.0
216,jamescharles,James Charles,36900000.0,4200000.0,356400.0,2900.0,1100.0
217,pablitocastilloo,pablitocastilloo,5800000.0,2000000.0,234700.0,1800.0,10800.0
218,jindaouis,Louisa Jindaoui,2000000.0,3400000.0,492200.0,1600.0,1900.0
219,readyfredi,fredi pärs,3200000.0,1600000.0,364000.0,3800.0,6600.0
220,ive.official,IVE.official,3000000.0,2400000.0,355600.0,4100.0,2700.0
221,hannahbahng,hannahbahng,2400000.0,1700000.0,479400.0,5800.0,1300.0
222,realnikocadoavocado,Nikocado Avocado,1700000.0,3400000.0,131000.0,6900.0,6000.0
223,_andrewcurtiss,Andrew Curtis,2800000.0,2000000.0,341900.0,5500.0,2900.0
224,datvilla94,🔥Đạt Villa🔥,6900000.0,2700000.0,192000.0,8600.0,2600.0
225,santiperezvivas,Santi Perez,1800000.0,2500000.0,418300.0,1800.0,3800.0
226,sucss.s,Açucena Guirra,11500000.0,3200000.0,539900.0,2500.0,755.0
227,thalita_karter,thalitaKarter,3900000.0,3400000.0,200200.0,1200.0,6900.0
228,davidcstt_,David Costa,5300000.0,3500000.0,480500.0,1900.0,1400.0
229,strangehumano,nova,10400000.0,3800000.0,400800.0,2400.0,1100.0
230,gregisms,Gregisms’ Neighborhood,2400000.0,1400000.0,235800.0,4300.0,12300.0
231,matheuscllaus,CLAUS,5400000.0,2700000.0,340100.0,2300.0,3700.0
232,halinhofficial,Ha Linh Official,2700000.0,4099999.9999999995,346500.0,2400.0,1400.0
233,kaan.etm,Kaan,3300000.0,1600000.0,411500.0,3400.0,4700.0
234,nicocaponecomedy,nicocapone.comedy,23100000.0,4600000.0,317300.0,1400.0,2300.0
235,aitch12,Aitch,2000000.0,3500000.0,351400.0,2100.0,2300.0
236,kirbyquimado,Kirbyyy,187900.0,2100000.0,274900.0,1500.0,7600.0
237,brycehall,Bryce Hall,22700000.0,4800000.0,497800.0,1500.0,711.0
238,straange_56guuuuy,aikihoruus?,5900.0,1500000.0,276600.0,2200.0,10800.0
239,emillyvickof,Emilly Vick,12100000.0,5400000.0,444800.0,1400.0,799.0
240,datdo0803,Đỗ Đạt,7600000.0,3700000.0,368200.0,2600.0,1100.0
241,darianrojasc,D A R I A NR O J A S,30700000.0,3300000.0,542400.0,2400.0,440.0
242,nicolassturniolo,Nicolas Sturniolo,3300000.0,2500000.0,412100.0,4400.0,582.0
243,ricardogaeta_,Ricardo Gaeta,737800.0,2100000.0,232000.0,4900.0,5300.0
244,giovannibonaccinii_,G I O V A N N I🦋,858300.0,2200000.0,317600.0,3000.0,4100.0
245,girlsgeneration.official,GirlsGeneration,783500.0,2700000.0,355200.0,2900.0,2400.0
246,eupereiraoficial,Eu Pereira,7800000.0,3600000.0,395700.0,1300.0,2100.0
247,sabrinacarpenter,Sabrina Carpenter,12600000.0,3200000.0,346500.0,3300.0,1200.0
248,leymarbrown,Leymar Brown,633900.0,2000000.0,251500.0,2600.0,7100.0
249,ferxxo444,Feid,3500000.0,3100000.0,381700.0,1500.0,2600.0
250,itsqcp,QCP,10800000.0,3900000.0,529100.0,1400.0,948.0
251,tooturnttony,Tooturnttony,17700000.0,3700000.0,355500.0,2600.0,1100.0
252,theodortytb,THEODORT,1500000.0,2600000.0,563300.0,2500.0,773.0
253,drewafualo,Drew Afualo,7700000.0,2000000.0,322100.0,6500.0,977.0
254,xoang_xa,maliha,917600.0,2100000.0,475000.0,2900.0,1800.0
255,runabyte,Runa,949400.0,2100000.0,573200.0,1800.0,2200.0
256,notshanebennett,Shane Bennett,2600000.0,2600000.0,589400.0,1200.0,1900.0
257,shadisrour,Shadi Srour,2200000.0,3200000.0,196400.0,2300.0,5200.0
258,ninonrambaud,Ninon Rambaud,123500.0,4099999.9999999995,441500.0,1500.0,1100.0
259,kyleechoi,Kylee Choi,19800.0,1800000.0,483500.0,3000.0,2300.0
260,eljuandiduque,eljuandiduque,6200000.0,1800000.0,171300.0,1500.0,13400.0
261,minami.0819,🦄💙MINAMI💙🦄,1600000.0,2000000.0,187100.0,9700.0,2400.0
262,raredoodle,rare doodle,1800000.0,3200000.0,370100.0,2400.0,1500.0
263,benyaparimm,BEN YAPARIM ! 🇹🇷,519299.99999999994,3600000.0,186100.0,1500.0,5200.0
264,thehypehouse,The Hype House,21100000.0,3200000.0,441700.0,2700.0,523.0
265,livvy,Olivia Dunne,5900000.0,3100000.0,397900.0,2300.0,1400.0
266,choega,BEDDY,5500000.0,2100000.0,348200.0,4100.0,2000.0
267,cerenyaldz,Ceren Yaldız,9400000.0,4400000.0,184100.0,4800.0,712.0
268,miichaelltran,Michael,6500000.0,2500000.0,442700.0,2300.0,1800.0
269,dunkmvp,DunkMVP,3500000.0,3500000.0,405700.0,1400.0,1800.0
270,jimena.jimenezr,Jimena,24200000.0,3300000.0,521100.0,959.0,1600.0
271,tangozilla,TANGOZILLA,280000.0,2200000.0,467500.0,1300.0,3000.0
272,melfouad,Melfouad,1300000.0,2400000.0,209400.0,2100.0,6600.0
273,t22felton,Tom Felton,10100000.0,2800000.0,303500.0,3100.0,2000.0
274,bu_kre_sabi,Bu Kre Sabi⁉️,472400.0,5100000.0,255200.0,659.0,2600.0
275,lucasvarelaaaa,Lucas varela,2900000.0,2000000.0,282000.0,810.0,6700.0
276,mndiaye_97,mndiaye_97,15100000.0,2200000.0,443700.0,2500.0,1900.0
277,jessechrisss,Jess,3500000.0,8900000.0,471000.0,775.0,223.0
278,n.vv3,ناصر || 🇸🇦 alsubaie,4000000.0,2900000.0,149600.0,2300.0,7400.0
279,tammyhembrow,Tammy Hembrow,1700000.0,3800000.0,429500.0,1300.0,1300.0
280,jackjos3ph,Jack Joseph,3200000.0,2100000.0,323100.0,2500.0,3800.0
281,paulo_victormelo2,Paulo Victor Melo,2200000.0,4700000.0,447900.0,815.0,1200.0
282,phatnail,Lê Đại Phát 🥑,1400000.0,3300000.0,333900.0,3200.0,583.0
283,straykids_japan,straykids_japan,8100000.0,1000000.0,344900.0,7600.0,3900.0
284,fwm.kalebb,Kaleb,1600000.0,2000000.0,306400.0,4500.0,2300.0
285,cookiepuentee,Cookie Puente🍪,686100.0,1400000.0,336800.0,1800.0,6600.0
286,andy.and.michelle,Andy & Michelle,5000000.0,2600000.0,336300.0,1400.0,3400.0
287,elpelaromerook,Gonzalo Romero,1500000.0,1400000.0,161500.0,696.0,17200.0
288,leaelui,Lea Elui,17300000.0,3900000.0,596400.0,654.0,1100.0
289,zeinabharake,Zeinab Harake,14400000.0,3500000.0,492100.0,1700.0,673.0
290,augustogimenez,AugustoGimenez,13500000.0,4099999.9999999995,608800.0,1000.0,605.0
291,thefashioncouple,BUCKS&JANINA,3600000.0,3100000.0,189000.0,6600.0,303.0
292,ria_d3miri,ria_d3miri,3100000.0,2300000.0,270900.0,4900.0,1500.0
293,brittikitty,Brittany & Lily,13500000.0,3100000.0,433300.0,1200.0,1700.0
294,mieayamthebstt,Unaa🍜,16200000.0,3500000.0,275500.0,2500.0,1500.0
295,cryingben,benoftheyear,1600000.0,2000000.0,442000.0,3700.0,764.0
296,keniaos,KeniaOs,15400000.0,2000000.0,341800.0,4100.0,1500.0
297,okunonolife,nono,839700.0,3000000.0,318200.0,1000.0,2900.0
298,camxnie,Cam & Nie,3500000.0,1900000.0,323600.0,1000.0,5300.0
299,loewhaley,Laura,2700000.0,2500000.0,211200.0,1000.0,6100.0
300,vicblends,VicBlends,13200000.0,2700000.0,523900.0,1800.0,836.0
301,meganfitton6,user3892932795857,8700.0,2000000.0,315300.0,1600.0,4400.0
302,renpc_,✨Ren PC✨,4800000.0,1600000.0,339300.0,1600.0,5300.0
303,christophersturniolo,Christopher Sturniolo,2700000.0,1600000.0,361200.0,5000.0,1300.0
304,snoopdogg,Snoop Dogg,23400000.0,3700000.0,168100.0,2700.0,3300.0
305,mdmotivator,Zachery Dereniowski,10700000.0,3000000.0,424900.0,1800.0,1000.0
